"fact_review_id","bank_id","branch_id","location_id","sentiment_id","review_text","relative_topic","topic_meaning","rating","review_date","language","bank_name","branch_name","location","sentiment_label"
"14","1","30","50","1","les trucs làbas ne sont pas responsables et dégoûtants",0,"Qualité du service et relation client",1,"2023-05-27 00:00:00","fr","CIH Bank","CIH Bank 89 Boulevard de la Résistance Lotiss, Mohammedia 28800 ","89 Boulevard de la Résistance Lotiss, Mohammedia 28800 ","Negative"
"15","1","20","40","2","diyima est un système familier",3,"Frais bancaires et gestion des comptes",1,"2022-05-27 00:00:00","fr","CIH Bank","CIH Bank Bd Mohamed VI، Rue Florac, Casablanca 20000 ","Bd Mohamed VI، Rue Florac, Casablanca 20000 ","Positive"
"16","1","51","67","1","la pire expérience que jai jamais eue",1,"Autre sujet bancaire",1,"2023-05-27 00:00:00","fr","CIH Bank","CIH Bank - Agence Kenitra Avenue Mohamed V Immeuble Hraga, Kénitra 14010 ","Avenue Mohamed V Immeuble Hraga, Kénitra 14010 ","Negative"
"17","1","2","2","1","je nai jamais loccasion de visiter",0,"Qualité du service et relation client",1,"2023-05-27 00:00:00","fr","CIH Bank","CIH Bank PJ25+C65، ANGLE RUE CHENGUITE ET RUE EL GHARB, Mohammedia ","PJ25+C65، ANGLE RUE CHENGUITE ET RUE EL GHARB, Mohammedia ","Negative"
"18","1","38","124","1","nul services  la satisfaction du client nai pas a leur intérêt",1,"Autre sujet bancaire",1,"2022-05-21 00:00:00","fr","CIH Bank","CIH Bank 796H+4X4, Kenitra ","796H+4X4, Kenitra ","Negative"
"19","1","45","15","1","la plus mauvaise agence au maroc une seule personne a la caisse  système tjrs en panne",3,"Frais bancaires et gestion des comptes",1,"2022-05-27 00:00:00","fr","CIH Bank","CIH Bank P3011 Route 109 Residence Soltane Magazin, Bouskoura 27182 ","P3011 Route 109 Residence Soltane Magazin, Bouskoura 27182 ","Negative"
"20","1","67","83","1","bonjour
nous nous excusons de ne pas avoir pu répondre à vos attentes veuillez nous contacter au 4747 ou à ladresse reclamationsclientscihbankma nous ferons de notre mieux pour vous offrir un meilleur service",2,"Qualité du service et relation client",1,"2023-05-27 00:00:00","fr","CIH Bank","CIH Bank Sidi Maarouf G8GX+4P3، Av. Abou Bakr el Kadiri Route Principale 1029 Al Mostakbal,gh 4, Rdpt Al Moustakbal, Casablanca 20000 ","G8GX+4P3، Av. Abou Bakr el Kadiri Route Principale 1029 Al Mostakbal,gh 4, Rdpt Al Moustakbal, Casablanca 20000 ","Negative"
"21","1","105","126","1","zéro une affaire le manager na pas négocié",0,"Qualité du service et relation client",1,"2024-05-27 00:00:00","fr","CIH Bank","CIH Bank MJVM+F7J, El-Hajeb ","MJVM+F7J, El-Hajeb ","Negative"
"22","1","103","17","1","très mauvais services  après une attente de 1h30 on me dit quil faut venir a 8h15 pour confirmer mon compte",0,"Qualité du service et relation client",1,"2022-05-27 00:00:00","fr","CIH Bank","CIH Bank - Agence Gueliz Centrale 187 Av. Mohammed V, Marrakech 40000 ","187 Av. Mohammed V, Marrakech 40000 ","Negative"
"23","1","24","82","1","jai jamais vu une banque dont tu doit passer 2heures dattente pour un simple service et dont les opérateurs qui sont normalement dans notre service sont occupés à parler entre eux dans du nimporte quoi au lieu de faire leurs travailperte du temps",4,"Qualité du service et relation client",1,"2024-05-27 00:00:00","fr","CIH Bank","CIH Bank Bd Hassan II, Settat 26000 ","Bd Hassan II, Settat 26000 ","Negative"
"24","1","67","83","1","mêmes problèmes toujours trop de monde et peu de travailleurs",3,"Frais bancaires et gestion des comptes",1,"2024-09-27 00:00:00","fr","CIH Bank","CIH Bank Sidi Maarouf G8GX+4P3، Av. Abou Bakr el Kadiri Route Principale 1029 Al Mostakbal,gh 4, Rdpt Al Moustakbal, Casablanca 20000 ","G8GX+4P3، Av. Abou Bakr el Kadiri Route Principale 1029 Al Mostakbal,gh 4, Rdpt Al Moustakbal, Casablanca 20000 ","Negative"
"25","1","120","105","2","cette agence est la meilleure agence",4,"Qualité du service et relation client",5,"2021-05-27 00:00:00","fr","CIH Bank","CIH X4PF+GFR, Av. Al Massira, Rabat ","X4PF+GFR, Av. Al Massira, Rabat ","Positive"
"26","1","51","67","2","la seule banque à kénitra qui est dotée dun gab où on peut y verser de largent sans lintervention de fonctionnaires",1,"Autre sujet bancaire",5,"2024-07-27 00:00:00","fr","CIH Bank","CIH Bank - Agence Kenitra Avenue Mohamed V Immeuble Hraga, Kénitra 14010 ","Avenue Mohamed V Immeuble Hraga, Kénitra 14010 ","Positive"
"27","1","12","66","1","si vous êtes responsable des calculs de la famille pauvre ou du vieil homme qui avait la même femme ktbqa kat3tini avec les excuses ou la vieille femme en plus de 30 minutes de travail vous devrez payer beaucoup dargent ma3qol mktbghich dir khdmtha meaya o mn lfoq ktsftni l wakalat akhrin",3,"Frais bancaires et gestion des comptes",1,"2024-12-27 00:00:00","fr","CIH Bank","CIH Bank Route Agadir Essaouira Oper.bab Marrakeche Magasin 27, Marrakech 40000 ","Route Agadir Essaouira Oper.bab Marrakeche Magasin 27, Marrakech 40000 ","Negative"
"28","1","47","73","2","bon service",2,"Qualité du service et relation client",5,"2023-05-27 00:00:00","en","CIH Bank","CIH Bank Lotissemt.chelhaoui, Av. Hassan II, Sidi Slimane 14200 ","Lotissemt.chelhaoui, Av. Hassan II, Sidi Slimane 14200 ","Positive"
"29","1","103","17","1","service médiocre",0,"Qualité du service et relation client",1,"2023-05-27 00:00:00","fr","CIH Bank","CIH Bank - Agence Gueliz Centrale 187 Av. Mohammed V, Marrakech 40000 ","187 Av. Mohammed V, Marrakech 40000 ","Negative"
"30","1","29","14","1","la pire banque de tous les temps le système est toujours en panne et ils ne résolvent jamais vos problèmes",3,"Frais bancaires et gestion des comptes",1,"2022-05-27 00:00:00","fr","CIH Bank","CIH Bank Boulevard Abdelmoumen، Rue Velasquez, Casablanca 20000 ","Boulevard Abdelmoumen، Rue Velasquez, Casablanca 20000 ","Negative"
"31","1","60","86","2","bonne banque",1,"Autre sujet bancaire",5,"2022-05-27 00:00:00","fr","CIH Bank","Banque CIH N، National Rte 1 Res. Dyar 3 Imm. 11، 18 Av Mohamed VI, Salé 11000 ","N، National Rte 1 Res. Dyar 3 Imm. 11، 18 Av Mohamed VI, Salé 11000 ","Positive"
"32","1","21","18","1","une chargée de clientèle mal élevée et qui ne répond jamais ni au téléphone ni aux émails aucune notion du service à la clientèle je ne sais pas où estce quils vont chercher des profils pareils même à lmo9ata3a on est mieux servi cest honteux",0,"Qualité du service et relation client",1,"2024-05-27 00:00:00","fr","CIH Bank","CIH Bank - Agence Allal Fassi Bd Allal Al Fassi Lotissement Hamza Lot Nâ°42, 40000 ","Bd Allal Al Fassi Lotissement Hamza Lot Nâ°42, 40000 ","Negative"
"33","1","51","67","1","service lent",0,"Qualité du service et relation client",1,"2020-05-27 00:00:00","fr","CIH Bank","CIH Bank - Agence Kenitra Avenue Mohamed V Immeuble Hraga, Kénitra 14010 ","Avenue Mohamed V Immeuble Hraga, Kénitra 14010 ","Negative"
"34","1","21","18","1","lune des pires banques de tous les temps le guichet automatique a avalé ma carte bancaire cela fait 4 mois que je souffre de le retourner et à chaque fois ils me faisaient sentir que javais un problème et finalement quand jen ai demandé un nouveau et reçu le message que je viendrais le prendre ils mont dit que le le système était bloqué ils mont créé un problème sur mon lieu de travail à cause de mon absence à cause deux",1,"Autre sujet bancaire",1,"2024-05-27 00:00:00","fr","CIH Bank","CIH Bank - Agence Allal Fassi Bd Allal Al Fassi Lotissement Hamza Lot Nâ°42, 40000 ","Bd Allal Al Fassi Lotissement Hamza Lot Nâ°42, 40000 ","Negative"
"35","1","67","83","1","conseillère pas très sympatique très lente dans son travail 
merci de bien vouloir revoir la qualité de ce service",0,"Qualité du service et relation client",1,"2019-05-27 00:00:00","fr","CIH Bank","CIH Bank Sidi Maarouf G8GX+4P3، Av. Abou Bakr el Kadiri Route Principale 1029 Al Mostakbal,gh 4, Rdpt Al Moustakbal, Casablanca 20000 ","G8GX+4P3، Av. Abou Bakr el Kadiri Route Principale 1029 Al Mostakbal,gh 4, Rdpt Al Moustakbal, Casablanca 20000 ","Negative"
"36","1","11","35","2","agence de qualité",0,"Qualité du service et relation client",5,"2021-05-27 00:00:00","fr","CIH Bank","CIH Bank HGX6+6QG, Bd Mbarek Ben Boubker Hammadi, Casablanca ","HGX6+6QG, Bd Mbarek Ben Boubker Hammadi, Casablanca ","Positive"
"37","7","78","121","3","cela vaut la peine de dépenser de largent avec lui",0,"Qualité du service et relation client",5,"2018-05-11 00:00:00","fr","Banque Centrale Populaire (BCP)","Banque Centrale Populaire 101 Bd Mohammed Zerktouni, Casablanca 20250 ","101 Bd Mohammed Zerktouni, Casablanca 20250 ","Neutral"
"38","1","128","37","1","akfas agence flmghrib demande 3 la carte guichet tsnit 20 ans majani la msj lalo il ny a pas dâge sur le marché alors pourquoi avonsnous besoin dautre chose  il y a aussi une maison nfs lmochkil taslt b nas galo lya madaro lik la demand la walo khask trj3i l agence 25 ans rja3t l agence b9it chada noba mli wslatni noba galo lya dit li mklaf bhadchi mcha khrej hhhhh db bdelt agence lfkih bnsal7  d3itkom llah howa yakhod fikom l7a9",3,"Autre sujet bancaire",1,"2024-09-27 00:00:00","en","CIH Bank","CIH BANK 220-222 Av. des F.A.R., Ouled Nemma 23552 ","220-222 Av. des F.A.R., Ouled Nemma 23552 ","Negative"
"39","1","7","42","2","bon service personnel sympa",2,"Qualité du service et relation client",5,"2024-05-27 00:00:00","en","CIH Bank","CIH Bank Alles De La Gare, Bd Chefchaouni, Casablanca 20000 ","Alles De La Gare, Bd Chefchaouni, Casablanca 20000 ","Positive"
"40","1","51","67","1","service client catastrophique",0,"Qualité du service et relation client",1,"2020-05-27 00:00:00","fr","CIH Bank","CIH Bank - Agence Kenitra Avenue Mohamed V Immeuble Hraga, Kénitra 14010 ","Avenue Mohamed V Immeuble Hraga, Kénitra 14010 ","Negative"
"41","1","18","127","1","la pire agence jamais vue
service très bas de gamme",0,"Qualité du service et relation client",1,"2022-05-27 00:00:00","fr","CIH Bank","CIH Bank - Agence Mly Abdellah 25-26, Bd Prince Moulay Abdellah, Marrakech 40000 ","25-26, Bd Prince Moulay Abdellah, Marrakech 40000 ","Negative"
"42","1","95","60","1","agent de securite mal poli  a essaye de mempecher dentrer en pretendant que c interdit dentrer en portant un short",1,"Autre sujet bancaire",1,"2019-05-27 00:00:00","fr","CIH Bank","CIH Bank, Agence Bernoussi Al Amal N116, Bd Abi Dar Al Ghafari Lot Al Amal, G3, Casablanca 20000 ","N116, Bd Abi Dar Al Ghafari Lot Al Amal, G3, Casablanca 20000 ","Negative"
"43","1","19","21","1","sil y avait une note inférieure à une je la posterai
aucun respect du clientun agent à la caisse en loccurrence el houssine mavait carrément manqué de respect et mavait laissé poiroter pendant une dizaine de minutes
lautre fille à la caisse après son retour de pose déjeuner na pas voulu me servir non plus
je voulais déposer de largent pour un client de cette banque
agence à éviter",3,"Frais bancaires et gestion des comptes",1,"2024-07-27 00:00:00","fr","CIH Bank","CIH Bank Lot 19 Et 22، Bloc 8 Av. du 10 Mars 1982, Casablanca 20000 ","Lot 19 Et 22، Bloc 8 Av. du 10 Mars 1982, Casablanca 20000 ","Negative"
"44","1","3","79","3","ne perdez pas votre temps les employés essaient toujours de faire quelque chose de spa donc ils vous laisseront tranquille le matin et vous aurez une journée entière mais vous nirez pas vous coucher",3,"Frais bancaires et gestion des comptes",1,"2023-05-27 00:00:00","fr","CIH Bank","CIH Bank 21، 10000 Av. Tadla, Rabat 10000 ","21، 10000 Av. Tadla, Rabat 10000 ","Neutral"
"45","1","45","15","1","gestion de mauvaise qualité",0,"Qualité du service et relation client",1,"2018-05-27 00:00:00","fr","CIH Bank","CIH Bank P3011 Route 109 Residence Soltane Magazin, Bouskoura 27182 ","P3011 Route 109 Residence Soltane Magazin, Bouskoura 27182 ","Negative"
"46","1","50","30","1","bonjour
cih bank vous remercie davoir partagé votre retour comment pouvonsnous vous offrir un meilleur service",2,"Qualité du service et relation client",3,"2024-05-27 00:00:00","fr","CIH Bank","CIH Bd Oued Edaoura Angle Bd Haj Fateh Et Rue3,oulfa Extention, Casablanca 20000 ","Bd Oued Edaoura Angle Bd Haj Fateh Et Rue3,oulfa Extention, Casablanca 20000 ","Negative"
"47","1","64","51","1","je ne sais pas comment votre banque peut choisir ses collaborateurs  comble de froideur dirrespect et de mépris dans le traitement des clients javais limpression dêtre dans une institution pénitentiaire
à cih
à toi de revoir",0,"Qualité du service et relation client",1,"2024-10-27 00:00:00","fr","CIH Bank","CIH Bank - Agence Bab Agnaou Kissaria.Zrikem, Pass. Prince Moulay Rachid, Marrakech 40000 ","Kissaria.Zrikem, Pass. Prince Moulay Rachid, Marrakech 40000 ","Negative"
"48","1","127","63","1","accueillir
nous sommes désolés de navoir pas pu répondre à vos attentes
nous vous invitons à nous contacter au 4747 ou à reclamationsclientscihbankma nous ferons de notre mieux pour vous offrir un meilleur service",2,"Qualité du service et relation client",1,"2023-05-27 00:00:00","fr","CIH Bank","CIH Avenue Tarik Ibn Ziad Projet Mers El Kheir, Témara 12000 ","Avenue Tarik Ibn Ziad Projet Mers El Kheir, Témara 12000 ","Negative"
"49","1","64","51","1","mauvais service 
la dame à la réception ne sait pas comment soccuper des clients faites preuve de respect envers les clients 
comment puisje vous aider ce serait génial
vous avez encore besoin de formation",0,"Qualité du service et relation client",1,"2021-05-27 00:00:00","fr","CIH Bank","CIH Bank - Agence Bab Agnaou Kissaria.Zrikem, Pass. Prince Moulay Rachid, Marrakech 40000 ","Kissaria.Zrikem, Pass. Prince Moulay Rachid, Marrakech 40000 ","Negative"
"50","1","53","119","1","retard au debut du travail retard au travail  super lenteur",0,"Qualité du service et relation client",1,"2024-05-27 00:00:00","fr","CIH Bank","CIH Bank National Rte 1 Complx. El Bachir Ii, Lot 3 Rte de Rabat, Salé 11000 ","National Rte 1 Complx. El Bachir Ii, Lot 3 Rte de Rabat, Salé 11000 ","Negative"
"51","1","38","124","1","vraiment dégueu cette banque  et partout cest comme ça dans kénitra  toujours une longue file de clients qui attendent devant les guichets  cih banque de demain ha ha ha  mrd  banque dhier plutot je ferme prochainement mon compte que jutilise plus dailleurs",3,"Frais bancaires et gestion des comptes",1,"2024-05-27 00:00:00","fr","CIH Bank","CIH Bank 796H+4X4, Kenitra ","796H+4X4, Kenitra ","Negative"
"52","1","34","59","1","service médiocre",0,"Qualité du service et relation client",1,"2022-05-27 00:00:00","fr","CIH Bank","CIH Bank - Agence Al Izdihar Marrakech ","Marrakech ","Negative"
"53","1","53","119","3","service jusquà ce que",0,"Qualité du service et relation client",1,"2024-05-27 00:00:00","fr","CIH Bank","CIH Bank National Rte 1 Complx. El Bachir Ii, Lot 3 Rte de Rabat, Salé 11000 ","National Rte 1 Complx. El Bachir Ii, Lot 3 Rte de Rabat, Salé 11000 ","Neutral"
"54","1","30","50","1","mauvais service  personnel impoli et très lent par contre l application est top",0,"Qualité du service et relation client",1,"2022-05-27 00:00:00","fr","CIH Bank","CIH Bank 89 Boulevard de la Résistance Lotiss, Mohammedia 28800 ","89 Boulevard de la Résistance Lotiss, Mohammedia 28800 ","Negative"
"55","1","67","83","3","jai modifié mon avis à 4 vu quils ont réglé le problème du cachet qui était illisible",1,"Autre sujet bancaire",4,"2024-05-27 00:00:00","fr","CIH Bank","CIH Bank Sidi Maarouf G8GX+4P3، Av. Abou Bakr el Kadiri Route Principale 1029 Al Mostakbal,gh 4, Rdpt Al Moustakbal, Casablanca 20000 ","G8GX+4P3، Av. Abou Bakr el Kadiri Route Principale 1029 Al Mostakbal,gh 4, Rdpt Al Moustakbal, Casablanca 20000 ","Neutral"
"56","1","34","59","1","services très lents
tout le temps dans toutes les agences le système est en panne et le réseau est faible cela doit prendre plus de deux heures pour attendre mon tour et deux heures pour traiter le service dont jai besoin",0,"Qualité du service et relation client",1,"2023-05-27 00:00:00","fr","CIH Bank","CIH Bank - Agence Al Izdihar Marrakech ","Marrakech ","Negative"
"57","1","3","79","1","finahoma flossi   dert reclamation jai toujours pas eu de nouvelle hadi 2 simanates ou ntoma chadine lya flossi finahowa rz9i",1,"Autre sujet bancaire",1,"2024-05-27 00:00:00","fr","CIH Bank","CIH Bank 21، 10000 Av. Tadla, Rabat 10000 ","21، 10000 Av. Tadla, Rabat 10000 ","Negative"
"58","1","15","93","2","tres bon service",2,"Qualité du service et relation client",5,"2021-05-27 00:00:00","en","CIH Bank","CIH Imm 7, Residence Semlali, Av. Mediouna, Salé 11000 ","Imm 7, Residence Semlali, Av. Mediouna, Salé 11000 ","Positive"
"59","1","99","12","1","tjr  meme probleme sur cih      vraiment tres  decu",0,"Qualité du service et relation client",1,"2023-05-27 00:00:00","fr","CIH Bank","CIH BANK Av. Mohamed V, Salé ","Av. Mohamed V, Salé ","Negative"
"60","1","99","12","1","queue interminable services très lents",0,"Qualité du service et relation client",1,"2024-08-27 00:00:00","fr","CIH Bank","CIH BANK Av. Mohamed V, Salé ","Av. Mohamed V, Salé ","Negative"
"61","7","78","121","1","le compte est débité sans justification ni communication avec le client",1,"Autre sujet bancaire",1,"2021-05-21 00:00:00","fr","Banque Centrale Populaire (BCP)","Banque Centrale Populaire 101 Bd Mohammed Zerktouni, Casablanca 20250 ","101 Bd Mohammed Zerktouni, Casablanca 20250 ","Negative"
"62","1","68","48","3","arbres dombrage élevés rue agdal à rabat avec une large base de terre qui permet darroser et daérer larbre mais la différence réside dans lintérêt des habitants et des intérêts civils du quartier ainsi que dans lampleur du souci de la municipalité de prendre soin de larbre et dans la ville verte",0,"Qualité du service et relation client",3,"2024-05-27 00:00:00","fr","CIH Bank","CIH 9 Rue Jabal Bouiblane, Rabat ","9 Rue Jabal Bouiblane, Rabat ","Neutral"
"63","7","78","121","1","services médiocres malheureusement ils ne traitent pas les étudiants avec respect le système ne fonctionne toujours pas",3,"Frais bancaires et gestion des comptes",1,"2025-05-16 00:00:00","fr","Banque Centrale Populaire (BCP)","Banque Centrale Populaire 101 Bd Mohammed Zerktouni, Casablanca 20250 ","101 Bd Mohammed Zerktouni, Casablanca 20250 ","Negative"
"341","1","26","25","2","agent de sécurité à reformer pour son travail chef de caisse sans soucis pour un guichet non approvisionné les clients fidèles à la banque doivent sapprovisionner chez les autres banques",1,"Autre sujet bancaire",1,"2023-05-27 00:00:00","fr","CIH Bank","CIH BANK, Agence BOUZNIKA. Bd Bir Anzarane, Bouznika 13100 ","Bd Bir Anzarane, Bouznika 13100 ","Positive"
"682","1","68","48","1","jhabite dans la ville doujda jai oublié ma carte bancaire chez moi et lorsque jai demandé à retirer une somme dargent à lagence un employé ma dit quil fallait changer dagence ici pour faire cela et son traitement a été très mauvais jai appelé pour porter plainte et apporter largent et il tremblait comme un poulet",1,"Autre sujet bancaire",1,"2024-05-27 00:00:00","fr","CIH Bank","CIH 9 Rue Jabal Bouiblane, Rabat ","9 Rue Jabal Bouiblane, Rabat ","Negative"
"64","1","17","36","1","je suis extrêmement déçue par lattitude du caissier lors de ma visite à cette banque lorsque je me suis présentée à laccueil à 1445 on ma informé que le caissier a pris sa pause et quil faut attendre quelques minutes chose que j ai faite alors que j avais d autres préoccupations et sachant très bien qu il n y a pas de pause déjeuner a 15h00 dans n importe quel établissement  après 20minutes on demande si le caissier va tarder encore mais on nous dit qu il va venir dès qu il termine sa pause après avoir insisté pour qu il vienne traiter nos demandes ils ont allé le chercher dans le café a coté de la banque  une fois quil est finalement revenu il a pris en charge les demandes des clients qui attendaient comme si de rien nétait et avec une attitude désagréable et  il a eu laudace de dire à un autre client quil allait partir dans 20 minutes ce qui montre clairement son manque dengagement et de professionnalisme je tiens à préciser que mon avis ne concerne pas la banque dans son ensemble car je nai jamais rencontré ce genre de problème dans dautres agences mais ça concerne le caissier de cette agence",4,"Qualité du service et relation client",1,"2024-12-27 00:00:00","fr","CIH Bank","CIH bank 2744+GJ2, P4029, Salé ","2744+GJ2, P4029, Salé ","Negative"
"65","1","23","43","1","pooooooor service surtout le gérant en parlant de cette agence pas tous les services du cih",0,"Qualité du service et relation client",1,"2023-05-27 00:00:00","fr","CIH Bank","CIH BANK X7X3+FCF Place La Mosquee، C.commercial, Av. Moulay Said Alaoui, Sala Al Jadida 11102 ","X7X3+FCF Place La Mosquee، C.commercial, Av. Moulay Said Alaoui, Sala Al Jadida 11102 ","Negative"
"66","1","74","99","1","une agence ou les salariés travaillent quand ils  veulent et lagent de sécurité vous répond désolé on doit fermer avant lheure de la fermeture  lanarchie totale",0,"Qualité du service et relation client",1,"2025-04-27 00:00:00","fr","CIH Bank","CIH BANK Projet Marina, Av. de Fès, Salé 11000 ","Projet Marina, Av. de Fès, Salé 11000 ","Negative"
"67","1","18","127","1","mauvais service",0,"Qualité du service et relation client",1,"2025-01-27 00:00:00","fr","CIH Bank","CIH Bank - Agence Mly Abdellah 25-26, Bd Prince Moulay Abdellah, Marrakech 40000 ","25-26, Bd Prince Moulay Abdellah, Marrakech 40000 ","Negative"
"68","1","99","12","1","conseillère désagréable pire quune administration publique",0,"Qualité du service et relation client",1,"2022-05-27 00:00:00","fr","CIH Bank","CIH BANK Av. Mohamed V, Salé ","Av. Mohamed V, Salé ","Negative"
"69","10","76","97","1","le service est nul la satisfaction du client nest pas une priorité pour eux je regrette dix milles fois davoir choisi ce poste",0,"Qualité du service et relation client",1,"2025-04-21 00:00:00","fr","Al Barid Bank","Al Barid Bank 798M+FG5, Kénitra ","798M+FG5, Kénitra ","Negative"
"70","1","34","59","1","mauvais service et le gab toujours hors service",0,"Qualité du service et relation client",1,"2022-05-27 00:00:00","fr","CIH Bank","CIH Bank - Agence Al Izdihar Marrakech ","Marrakech ","Negative"
"71","1","77","27","2","bonjour
cih bank vous remercie davoir partagé votre avis
au plaisir de vous accueillir une nouvelle fois en agence",0,"Qualité du service et relation client",5,"2024-07-27 00:00:00","fr","CIH Bank","CIH Banque 108 Av. 2 Mars, Casablanca 20360 ","108 Av. 2 Mars, Casablanca 20360 ","Positive"
"72","1","103","17","1","très mauvais service  communication
rien rien rien
fait",0,"Qualité du service et relation client",1,"2024-05-27 00:00:00","fr","CIH Bank","CIH Bank - Agence Gueliz Centrale 187 Av. Mohammed V, Marrakech 40000 ","187 Av. Mohammed V, Marrakech 40000 ","Negative"
"73","8","52","84","2","super banque emplacement idéal",1,"Autre sujet bancaire",4,"2018-05-11 00:00:00","fr","Citibank","Citibank G9R5+C6J, Bd de Fes, Casablanca 20000 ","G9R5+C6J, Bd de Fes, Casablanca 20000 ","Positive"
"74","1","27","117","1","bonjour
nous sommes navrés que nous nayons pas pu répondre à vos attentes 
nous vous invitons à nous contacter sur le 4747 ou sur reclamationsclientscihbankma nous ferons le nécessaire pour vous offrir un meilleur service",2,"Qualité du service et relation client",1,"2024-09-27 00:00:00","fr","CIH Bank","CIH Bank Bd Mohamed Zefzaf Rue N18, Lotissement Rahmani, Lot 198, Casablanca 20000 ","Bd Mohamed Zefzaf Rue N18, Lotissement Rahmani, Lot 198, Casablanca 20000 ","Negative"
"75","1","120","105","1","javais besoin dactiver mon compte pendant des jours je viens la dame en gauche me donne chaque fois une excuse  ya pas de connexion le système a tomber mais la dernière fois elle a carrément jurée quil vas pas mactiver mon compte  jai rein fait pire agence",1,"Autre sujet bancaire",1,"2024-05-27 00:00:00","fr","CIH Bank","CIH X4PF+GFR, Av. Al Massira, Rabat ","X4PF+GFR, Av. Al Massira, Rabat ","Negative"
